Route,Date,Price
Sydney Kingsford Smith Airport - Brisbane International,2025-07-01,180
Sydney Kingsford Smith Airport - Brisbane International,2025-07-02,175
Sydney Kingsford Smith Airport - Brisbane International,2025-07-03,185
Sydney Kingsford Smith Airport - Auckland International,2025-07-01,300
Sydney Kingsford Smith Airport - Auckland International,2025-07-02,310
Sydney Kingsford Smith Airport - Auckland International,2025-07-03,305
Haneda Airport - Itami,2025-07-01,220
Haneda Airport - Itami,2025-07-02,230
Haneda Airport - Itami,2025-07-03,225
Beijing Daxing International Airport - Shuangliu,2025-07-01,300
Beijing Daxing International Airport - Shuangliu,2025-07-02,310
Beijing Daxing International Airport - Shuangliu,2025-07-03,305
Sydney Kingsford Smith Airport - Ballina Byron Gateway,2025-07-01,150
Sydney Kingsford Smith Airport - Ballina Byron Gateway,2025-07-02,155
Sydney Kingsford Smith Airport - Ballina Byron Gateway,2025-07-03,160
Athens International Airport "Eleftherios Venizelos" - Mikonos,2025-07-01,120
Athens International Airport "Eleftherios Venizelos" - Mikonos,2025-07-02,125
Athens International Airport "Eleftherios Venizelos" - Mikonos,2025-07-03,130
